row	word	verdicts	banked	sweep_s
internal/types/errors	PASS	155		38
internal/weak	PASS	4		13
internal/xcoff	PASS	3		14
internal/zstd	PASS	536		14
io	PASS	60		16
io/fs	PASS	18		16
io/ioutil	PASS	28		13
iter	PASS	28		17
log	PASS	8		13
log/slog	PASS	194		52
log/slog/internal/benchmarks	PASS	3		13
log/slog/internal/buffer	PASS	1		12
maps	PASS	14		11
math	PASS	76		16
math/big	PASS	224		28
math/bits	PASS	26		15
math/cmplx	PASS	24		12
math/rand	PASS	43		19
math/rand/v2	PASS	36		24
mime	PASS	17		14
mime/multipart	PASS	52		23
mime/quotedprintable	PASS	5		15
net	FAIL	0		3107
net/http	PASS	1345		240
net/http/cgi	PASS	38		40
net/http/cookiejar	PASS	17		19
net/http/fcgi	PASS	12		19
net/http/httptest	PASS	55		20
net/http/httptrace	PASS	2		15
net/http/httputil	PASS	53		39
net/http/internal	PASS	14		14
net/http/internal/ascii	PASS	13		12
net/mail	PASS	11		13
net/netip	PASS	210		23
net/rpc	PASS	15		48
net/rpc/jsonrpc	PASS	9		19
net/smtp	PASS	19		18
net/textproto	PASS	26		13
net/url	PASS	48		14
os	PASS	683		55
os/exec	PASS	116		127
os/exec/internal/fdtest	PASS	1		10
os/signal	PASS	1		16
os/user	PASS	5		44
path	PASS	9		14
path/filepath	PASS	61		19
plugin	PASS	1		11
regexp	PASS	45		193
regexp/syntax	PASS	12		14
runtime/debug	PASS	4		14
runtime/internal/math	PASS	1		13
runtime/internal/sys	PASS	4		11
runtime/metrics	PASS	2		17
slices	PASS	119		18
sort	PASS	63		15
strconv	PASS	55		20
strings	PASS	68		22
sync	PASS	47		31
sync/atomic	PASS	108		94
syscall	FAIL	0		21
testing	PASS	37		24
testing/fstest	PASS	7		14
testing/iotest	PASS	18		12
testing/quick	PASS	8		13
testing/slogtest	PASS	17		14
text/scanner	PASS	18		12
text/tabwriter	PASS	3		11
text/template	PASS	52		22
text/template/parse	PASS	52		16
time	PASS	169		357
unicode	PASS	28		12
unicode/utf16	PASS	8		18
unicode/utf8	PASS	14		11
