w	worker	slice	seq	row	word	verdicts	sweep_s	first_in_list	rc	diverged	platform	tree	wall_s	post_s	banked	manifest_pins	cost_i9_s	reserved
4	i9-13900K (sweeper)	2	17	log/slog/internal/buffer	PASS	1	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	12	0	yes	1	31	0
4	i9-13900K (sweeper)	2	18	math/cmplx	PASS	24	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	12	0	yes	0	31	0
4	i9-13900K (sweeper)	2	19	crypto/internal/fips140/ecdh	PASS	1	16	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	16	0	yes	0	30	0
4	i9-13900K (sweeper)	2	20	debug/dwarf	PASS	40	19	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	19	0	yes	0	30	0
4	i9-13900K (sweeper)	2	21	go/internal/gccgoimporter	PASS	4	16	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	16	0	yes	0	30	0
4	i9-13900K (sweeper)	2	22	runtime/metrics	PASS	2	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	30	0
4	i9-13900K (sweeper)	2	23	bytes	PASS	83	17	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	17	0	yes	6	29	0
4	i9-13900K (sweeper)	2	24	crypto/internal/hpke	PASS	19	16	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	16	0	yes	0	29	0
4	i9-13900K (sweeper)	2	25	internal/sync	PASS	106	20	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	20	0	yes	0	29	0
4	i9-13900K (sweeper)	2	26	net/textproto	PASS	26	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	29	0
4	i9-13900K (sweeper)	2	27	path/filepath	PASS	61	19	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	19	0	yes	0	29	0
