# Digest of `go build -a -gcflags=-m std` (go1.24.13, amd64), per GOOS: verdict lines per std package directory.
# The full outputs are ~137K lines per GOOS and are regenerated by the command in README.md; this digest is what they are checked against.
TOTAL windows: lines=136781 does-not-escape=18767 escapes-to-heap=22278 leaking-param=14676 moved-to-heap=943 can-inline=13961 inlining-call=60900
TOTAL linux: lines=137238 does-not-escape=18702 escapes-to-heap=22363 leaking-param=14711 moved-to-heap=963 can-inline=14253 inlining-call=61016
TOTAL darwin: lines=136368 does-not-escape=18685 escapes-to-heap=22219 leaking-param=14603 moved-to-heap=920 can-inline=14099 inlining-call=60567

package	windows:does	windows:escapes	windows:leaking	windows:moved	linux:does	linux:escapes	linux:leaking	linux:moved	darwin:does	darwin:escapes	darwin:leaking	darwin:moved
internal/synctest	0	1	4	0	0	1	4	0	0	1	4	0
internal/syscall/execenv	1	0	0	0	1	0	0	0	1	0	0	0
internal/syscall/unix	0	0	0	0	34	14	1	0	57	14	10	1
internal/syscall/windows	141	84	2	14	0	0	0	0	0	0	0	0
internal/syscall/windows/registry	63	24	1	1	0	0	0	0	0	0	0	0
internal/syscall/windows/sysdll	0	1	1	0	0	0	0	0	0	0	0	0
internal/sysinfo	0	3	0	5	1	7	1	5	0	3	0	5
internal/syslist	0	3	0	0	0	3	0	0	0	3	0	0
internal/testenv	26	111	37	39	26	107	37	40	26	109	37	40
internal/testlog	0	1	3	1	0	1	3	1	0	1	3	1
internal/testpty	1	3	4	0	1	6	4	0	1	7	4	0
internal/trace	364	458	136	14	364	458	136	14	364	458	136	14
internal/trace/event	0	1	1	0	0	1	1	0	0	1	1	0
internal/trace/event/go122	1	1	0	0	1	1	0	0	1	1	0	0
internal/trace/internal/oldtrace	82	108	23	1	82	108	23	1	82	108	23	1
internal/trace/internal/testgen/go122	19	37	24	1	19	37	24	1	19	37	24	1
internal/trace/raw	26	46	18	0	26	46	18	0	26	46	18	0
internal/trace/testtrace	63	97	14	1	63	97	14	1	63	97	14	1
internal/trace/traceviewer	88	116	54	7	87	117	54	7	87	117	54	7
internal/trace/version	3	3	2	1	3	3	2	1	3	3	2	1
internal/txtar	5	7	7	1	5	7	7	1	5	7	7	1
internal/types/errors	0	1	0	0	0	1	0	0	0	1	0	0
internal/xcoff	48	71	16	1	48	71	16	1	48	71	16	1
internal/zstd	57	167	34	0	57	167	34	0	57	167	34	0
io	9	20	73	1	9	20	73	1	9	20	73	1
io/fs	13	21	50	0	13	21	50	0	13	21	50	0
io/ioutil	2	2	11	0	3	2	10	0	3	2	10	0
iter	0	1	0	0	0	1	0	0	0	1	0	0
log	22	11	107	3	23	11	106	3	23	11	106	3
log/slog	80	155	210	6	83	155	207	6	83	155	207	6
log/slog/internal/benchmarks	8	11	7	0	8	11	7	0	8	11	7	0
log/slog/internal/buffer	6	2	4	1	6	2	4	1	6	2	4	1
log/slog/internal/slogtest	1	0	1	0	1	0	1	0	1	0	1	0
log/syslog	0	0	0	0	5	19	33	0	5	19	33	0
maps	13	24	1	0	13	24	1	0	13	24	1	0
math	0	27	0	0	0	27	0	0	0	27	0	0
math/big	415	421	293	1	415	421	293	1	415	421	293	1
math/cmplx	0	1	0	0	0	1	0	0	0	1	0	0
math/rand	20	16	27	3	20	16	27	3	20	16	27	3
math/rand/v2	24	22	32	0	24	22	32	0	24	22	32	0
mime	37	79	31	3	40	84	33	3	40	84	33	3
mime/multipart	55	49	37	3	55	49	37	3	55	49	37	3
mime/quotedprintable	17	7	11	0	17	7	11	0	17	7	11	0
net	471	712	678	23	526	721	659	34	526	718	638	31
net/http	919	1475	1244	38	922	1476	1240	38	922	1476	1240	38
net/http/cgi	31	85	23	0	31	85	23	0	31	85	23	0
net/http/cookiejar	18	17	29	0	18	17	29	0	18	17	29	0
net/http/fcgi	21	59	35	1	21	56	35	1	21	56	35	1
net/http/httptest	23	90	29	1	23	90	29	1	23	90	29	1
net/http/httptrace	1	12	9	0	1	12	9	0	1	12	9	0
net/http/httputil	63	104	75	6	63	104	75	6	63	104	75	6
net/http/internal	3	12	12	0	3	12	12	0	3	12	12	0
net/http/internal/ascii	4	0	1	0	4	0	1	0	4	0	1	0
net/http/internal/testcert	0	1	1	0	0	1	1	0	0	1	1	0
net/http/pprof	21	48	27	3	21	48	27	3	21	48	27	3
net/internal/socktest	24	33	17	2	19	36	17	2	19	34	16	2
net/mail	45	73	29	0	45	73	29	0	45	73	29	0
net/netip	101	87	40	2	101	87	40	2	101	87	40	2
net/rpc	49	94	104	1	49	94	104	1	49	94	104	1
net/rpc/jsonrpc	5	19	20	1	5	19	20	1	5	19	20	1
net/smtp	21	35	41	0	21	35	41	0	21	35	41	0
net/textproto	27	52	51	0	27	52	51	0	27	52	51	0
net/url	32	71	52	2	32	71	52	2	32	71	52	2
os	149	220	216	7	219	240	224	17	199	216	221	7
os/exec	29	54	47	2	26	48	43	2	26	48	43	2
os/exec/internal/fdtest	0	1	0	0	1	0	0	0	1	0	0	0
os/signal	13	8	7	0	13	8	7	0	13	8	7	0
os/user	40	20	11	1	28	29	32	10	44	29	16	1
path	7	11	11	0	7	11	11	0	7	11	11	0
path/filepath	25	23	39	0	20	14	39	0	20	14	39	0
plugin	6	4	0	0	9	21	1	2	6	4	0	0
reflect	378	569	229	18	378	569	229	18	378	569	229	18
regexp	111	83	146	2	111	83	146	2	111	83	146	2
regexp/syntax	74	130	103	1	74	130	103	1	74	130	103	1
